Model,RMSE,MAE,R²,MAPE (%)
Simple Persistence,53.20722903101692,34.83739031282534,0.9116044628215175,21.610392845112102
Time-Adjusted Persistence,48.21301981570035,36.3578587607278,0.9274198729603067,22.379350631429393
